pokemonId,latitude,longitude
19,48.599565,7.744232
16,48.748139,2.405016
13,48.743827,2.408505
16,48.601439,7.740957
21,48.741846,2.405622
16,48.602889,7.742812
16,48.745347,2.407145
32,48.742263,2.404431
92,48.603771,7.743733
16,48.745383,2.405396
16,48.745458,2.405577
16,48.740643,2.406833
74,48.743449,2.400239
98,48.744124,2.401785
37,48.742896,2.407988
41,48.744,2.407731
118,48.740048,2.397674
133,48.742876,2.405183
41,48.742531,2.39911
46,48.742575,2.404545
98,48.747806,2.402184
16,48.742648,2.404813
43,48.746094,2.401426
35,48.742884,2.400979
120,48.747652,2.401996
52,48.73977,2.403519
19,48.747002,2.406847
120,48.742079,2.401962
19,48.746406,2.405307
102,48.747698,2.403577
41,48.743603,2.404194
16,48.744405,2.403386
21,48.584071,7.749888
29,48.744764,2.401226
19,48.583035,7.746594
21,48.603662,7.744189
23,48.743222,2.403636
19,48.584483,7.747283
77,48.74308,2.402923
61,48.748041,2.402204
19,48.744346,2.406184
63,48.742578,2.408136
41,48.746577,2.400854
21,48.582075,7.747981
21,48.582494,7.749941
19,48.584483,7.746117
41,48.742879,2.405008
16,48.583138,7.75439
19,48.585552,7.757092
16,48.743032,2.405196
16,48.581412,7.749644
96,48.582829,7.75314
13,48.746874,2.401667
129,48.583659,7.757155
21,48.585784,7.750164
129,48.585591,7.754189
32,48.74012,2.401797
41,48.747208,2.400732
41,48.744527,2.401294
16,48.582906,7.754326
19,48.584992,7.747907
66,48.743563,2.402351
21,48.58212,7.742654
41,48.74811,2.402648
120,48.585018,7.754517
21,48.742332,2.404874
